FIPS,num_vet_county,state,county,abbrev
1001,147799,Alabama,Autauga,AL
1003,632362,Alabama,Baldwin,AL
1005,38387,Alabama,Barbour,AL
1007,35112,Alabama,Bibb,AL
1009,80208,Alabama,Blount,AL
1011,8704,Alabama,Bullock,AL
1013,29015,Alabama,Butler,AL
1015,232998,Alabama,Calhoun,AL
1017,50278,Alabama,Chambers,AL
1019,43184,Alabama,Cherokee,AL
1021,59364,Alabama,Chilton,AL
1023,17198,Alabama,Choctaw,AL
1025,37746,Alabama,Clarke,AL
1027,18901,Alabama,Clay,AL
1029,18270,Alabama,Cleburne,AL
1031,183419,Alabama,Coffee,AL
1033,95480,Alabama,Colbert,AL
1035,13893,Alabama,Conecuh,AL
1037,19633,Alabama,Coosa,AL
1039,77236,Alabama,Covington,AL
1041,21501,Alabama,Crenshaw,AL
1043,128781,Alabama,Cullman,AL
1045,155482,Alabama,Dale,AL
1047,50724,Alabama,Dallas,AL
1049,77368,Alabama,DeKalb,AL
1051,220998,Alabama,Elmore,AL
1053,56906,Alabama,Escambia,AL
1055,170436,Alabama,Etowah,AL
1057,27068,Alabama,Fayette,AL
1059,33513,Alabama,Franklin,AL
1061,61564,Alabama,Geneva,AL
1063,10647,Alabama,Greene,AL
1065,19313,Alabama,Hale,AL
1067,29783,Alabama,Henry,AL
1069,223572,Alabama,Houston,AL
1071,75684,Alabama,Jackson,AL
1073,1007363,Alabama,Jefferson,AL
1075,18281,Alabama,Lamar,AL
1077,143824,Alabama,Lauderdale,AL
1079,36733,Alabama,Lawrence,AL
1081,329704,Alabama,Lee,AL
1083,228612,Alabama,Limestone,AL
1085,12005,Alabama,Lowndes,AL
1087,33883,Alabama,Macon,AL
1089,1021189,Alabama,Madison,AL
1091,30556,Alabama,Marengo,AL
1093,37501,Alabama,Marion,AL
1095,156448,Alabama,Marshall,AL
1097,779806,Alabama,Mobile,AL
1099,35167,Alabama,Monroe,AL
1101,478533,Alabama,Montgomery,AL
1103,177483,Alabama,Morgan,AL
1105,9385,Alabama,Perry,AL
1107,28611,Alabama,Pickens,AL
1109,69688,Alabama,Pike,AL
1111,33965,Alabama,Randolph,AL
1113,178078,Alabama,Russell,AL
1115,166570,Alabama,St. Clair,AL
1117,392987,Alabama,Shelby,AL
1119,15725,Alabama,Sumter,AL
1121,143740,Alabama,Talladega,AL
1123,82494,Alabama,Tallapoosa,AL
1125,338727,Alabama,Tuscaloosa,AL
1127,90727,Alabama,Walker,AL
1129,18110,Alabama,Washington,AL
1131,12630,Alabama,Wilcox,AL
1133,36374,Alabama,Winston,AL
2013,3999,Alaska,Aleutians East Borough,AK
2016,5430,Alaska,Aleutians West Census Area,AK
2020,734085,Alaska,Anchorage Borough,AK
2050,23225,Alaska,Bethel Census Area,AK
2060,1701,Alaska,Bristol Bay Borough,AK
2063,9004,Alaska,Not Available,AK
2066,4124,Alaska,Not Available,AK
2068,6076,Alaska,Denali Borough                         (created after 1990),AK
2070,4414,Alaska,Dillingham Census Area,AK
2090,337758,Alaska,Fairbanks North Star Borough,AK
2100,3956,Alaska,Haines Borough,AK
2105,3464,Alaska,Not Available,AK
2110,53526,Alaska,Juneau Borough,AK
2122,120424,Alaska,Kenai Peninsula Borough,AK
2130,26190,Alaska,Ketchikan Gateway Borough,AK
2150,26616,Alaska,Kodiak Island Borough,AK
2158,7771,Alaska,Not Available,AK
2164,1330,Alaska,Lake and Peninsula Borough,AK
2170,349575,Alaska,Matanuska-Susitna Borough,AK
2180,11725,Alaska,Nome Census Area,AK
2185,9522,Alaska,North Slope Borough,AK
2188,6781,Alaska,Northwest Arctic Borough,AK
2195,7796,Alaska,Not Available,AK
2198,7348,Alaska,Not Available,AK
2220,15090,Alaska,Sitka Borough,AK
2230,1860,Alaska,Not Available,AK
2240,20709,Alaska,Southeast Fairbanks Census Area,AK
2275,5167,Alaska,Not Available,AK
2282,1074,Alaska,Yakutat Borough                       (created after 1990),AK
2290,7248,Alaska,Yukon-Koyukuk Census Area,AK
4001,94246,Arizona,Apache,AZ
4003,534237,Arizona,Cochise,AZ
4005,186731,Arizona,Coconino,AZ
4007,120266,Arizona,Gila,AZ
4009,48264,Arizona,Graham,AZ
4011,13648,Arizona,Greenlee,AZ
4012,50853,Arizona,La Paz,AZ
4013,7201927,Arizona,Maricopa,AZ
4015,637679,Arizona,Mohave,AZ
4017,204661,Arizona,Navajo,AZ
4019,2299660,Arizona,Pima,AZ
4021,1229365,Arizona,Pinal,AZ
4023,43945,Arizona,Santa Cruz,AZ
4025,657439,Arizona,Yavapai,AZ
4027,378676,Arizona,Yuma,AZ
5001,20437,Arkansas,Arkansas,AR
5003,22169,Arkansas,Ashley,AR
5005,99122,Arkansas,Baxter,AR
5007,501499,Arkansas,Benton,AR
5009,68873,Arkansas,Boone,AR
5011,12910,Arkansas,Bradley,AR
5013,8002,Arkansas,Calhoun,AR
5015,52213,Arkansas,Carroll,AR
5017,10841,Arkansas,Chicot,AR
5019,31227,Arkansas,Clark,AR
5021,17993,Arkansas,Clay,AR
5023,57650,Arkansas,Cleburne,AR
5025,10758,Arkansas,Cleveland,AR
5027,31382,Arkansas,Columbia,AR
5029,38692,Arkansas,Conway,AR
5031,158541,Arkansas,Craighead,AR
5033,109531,Arkansas,Crawford,AR
5035,59334,Arkansas,Crittenden,AR
5037,19707,Arkansas,Cross,AR
5039,9686,Arkansas,Dallas,AR
5041,11329,Arkansas,Desha,AR
5043,29760,Arkansas,Drew,AR
5045,215326,Arkansas,Faulkner,AR
5047,29313,Arkansas,Franklin,AR
5049,26415,Arkansas,Fulton,AR
5051,195891,Arkansas,Garland,AR
5053,29382,Arkansas,Grant,AR
5055,75706,Arkansas,Greene,AR
5057,23366,Arkansas,Hempstead,AR
5059,55466,Arkansas,Hot Spring,AR
5061,19377,Arkansas,Howard,AR
5063,56192,Arkansas,Independence,AR
5065,27556,Arkansas,Izard,AR
5067,20358,Arkansas,Jackson,AR
5069,88665,Arkansas,Jefferson,AR
5071,38739,Arkansas,Johnson,AR
5073,8243,Arkansas,Lafayette,AR
5075,23315,Arkansas,Lawrence,AR
5077,7790,Arkansas,Lee,AR
5079,12687,Arkansas,Lincoln,AR
5081,16314,Arkansas,Little River,AR
5083,37594,Arkansas,Logan,AR
5085,180511,Arkansas,Lonoke,AR
5087,22920,Arkansas,Madison,AR
5089,36157,Arkansas,Marion,AR
5091,63054,Arkansas,Miller,AR
5093,52926,Arkansas,Mississippi,AR
5095,7983,Arkansas,Monroe,AR
5097,15178,Arkansas,Montgomery,AR
5099,13515,Arkansas,Nevada,AR
5101,13021,Arkansas,Newton,AR
5103,39673,Arkansas,Ouachita,AR
5105,20974,Arkansas,Perry,AR
5107,20033,Arkansas,Phillips,AR
5109,15711,Arkansas,Pike,AR
5111,25600,Arkansas,Poinsett,AR
5113,44649,Arkansas,Polk,AR
5115,104864,Arkansas,Pope,AR
5117,13151,Arkansas,Prairie,AR
5119,779781,Arkansas,Pulaski,AR
5121,24038,Arkansas,Randolph,AR
5123,29140,Arkansas,St. Francis,AR
5125,271716,Arkansas,Saline,AR
5127,13204,Arkansas,Scott,AR
5129,13682,Arkansas,Searcy,AR
5131,242084,Arkansas,Sebastian,AR
5133,18127,Arkansas,Sevier,AR
5135,38104,Arkansas,Sharp,AR
5137,21777,Arkansas,Stone,AR
5139,55696,Arkansas,Union,AR
5141,34009,Arkansas,Van Buren,AR
5143,392081,Arkansas,Washington,AR
5145,142990,Arkansas,White,AR
5147,6356,Arkansas,Woodruff,AR
5149,29225,Arkansas,Yell,AR
6001,1011186,California,Alameda,CA
6003,1884,California,Alpine,CA
6005,60224,California,Amador,CA
6007,290631,California,Butte,CA
6009,82210,California,Calaveras,CA
6011,14095,California,Colusa,CA
6013,876124,California,Contra Costa,CA
6015,38264,California,Del Norte,CA
6017,257684,California,El Dorado,CA
6019,824780,California,Fresno,CA
6021,26382,California,Glenn,CA
6023,157977,California,Humboldt,CA
6025,144656,California,Imperial,CA
6027,27903,California,Inyo,CA
6029,854299,California,Kern,CA
6031,188848,California,Kings,CA
6033,90253,California,Lake,CA
6035,37291,California,Lassen,CA
6037,5472331,California,Los Angeles,CA
6039,117556,California,Madera,CA
6041,150068,California,Marin,CA
6043,29034,California,Mariposa,CA
6045,87189,California,Mendocino,CA
6047,218410,California,Merced,CA
6049,12678,California,Modoc,CA
6051,10917,California,Mono,CA
6053,381560,California,Monterey,CA
6055,104575,California,Napa,CA
6057,140887,California,Nevada,CA
6059,2233118,California,Orange,CA
6061,589154,California,Placer,CA
6063,29674,California,Plumas,CA
6065,2920142,California,Riverside,CA
6067,1690573,California,Sacramento,CA
6069,58222,California,San Benito,CA
6071,2135270,California,San Bernardino,CA
6073,5392274,California,San Diego,CA
6075,453068,California,San Francisco,CA
6077,636502,California,San Joaquin,CA
6079,343861,California,San Luis Obispo,CA
6081,455273,California,San Mateo,CA
6083,394947,California,Santa Barbara,CA
6085,1041111,California,Santa Clara,CA
6087,180068,California,Santa Cruz,CA
6089,273983,California,Shasta,CA
6091,3962,California,Sierra,CA
6093,67722,California,Siskiyou,CA
6095,730111,California,Solano,CA
6097,439778,California,Sonoma,CA
6099,443024,California,Stanislaus,CA
6101,111531,California,Sutter,CA
6103,81381,California,Tehama,CA
6105,18064,California,Trinity,CA
6107,333581,California,Tulare,CA
6109,92348,California,Tuolumne,CA
6111,760947,California,Ventura,CA
6113,158448,California,Yolo,CA
6115,134936,California,Yuba,CA
8001,697117,Colorado,Adams,CO
8003,17739,Colorado,Alamosa,CO
8005,1005900,Colorado,Arapahoe,CO
8007,26930,Colorado,Archuleta,CO
8009,4093,Colorado,Baca,CO
8011,10098,Colorado,Bent,CO
8013,354791,Colorado,Boulder,CO
8014,122765,Colorado,Not Available,CO
8015,39981,Colorado,Chaffee,CO
8017,1918,Colorado,Cheyenne,CO
8019,13001,Colorado,Clear Creek,CO
8021,8631,Colorado,Conejos,CO
8023,6353,Colorado,Costilla,CO
8025,8849,Colorado,Crowley,CO
8027,13286,Colorado,Custer,CO
8029,61976,Colorado,Delta,CO
8031,740353,Colorado,Denver,CO
8033,4579,Colorado,Dolores,CO
8035,653430,Colorado,Douglas,CO
8037,35123,Colorado,Eagle,CO
8039,56774,Colorado,Elbert,CO
8041,2771621,Colorado,El Paso,CO
8043,108835,Colorado,Fremont,CO
8045,72575,Colorado,Garfield,CO
8047,14997,Colorado,Gilpin,CO
8049,27525,Colorado,Grand,CO
8051,21031,Colorado,Gunnison,CO
8053,1340,Colorado,Hinsdale,CO
8055,14601,Colorado,Huerfano,CO
8057,2940,Colorado,Jackson,CO
8059,829118,Colorado,Jefferson,CO
8061,1687,Colorado,Kiowa,CO
8063,9896,Colorado,Kit Carson,CO
8065,10143,Colorado,Lake,CO
8067,76806,Colorado,La Plata,CO
